Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
675965c1195dae5d2dee3c15,5ee235163a959e2d31a0b521,APPROVED,Not Applicable,2024-12-11T10:15:46.975000Z,2024-12-11T10:23:05.674000Z,2024-12-11T10:25:08.536000Z,2024-12-11T10:23:06.446765Z,439.0,CJL9IR62,981,"Finnish, English",39,Female,White,Finland,United Kingdom,Finland,Finnish,No,Part-Time
675965d3daa520c402a1e7d7,6650e6f169352bfb1977a18a,APPROVED,Not Applicable,2024-12-11T10:13:47.337000Z,2024-12-11T10:20:12.849000Z,2024-12-11T10:25:48.772000Z,2024-12-11T10:20:13.683310Z,386.0,CJL9IR62,100,English,38,Female,White,Romania,United Kingdom,Romania,Romanian,DATA_EXPIRED,DATA_EXPIRED
675965dd6c5481242c4cb1fa,5f46c41bc6a7d0083e3564ca,APPROVED,Not Applicable,2024-12-11T10:13:57.247000Z,2024-12-11T10:20:18.599000Z,2024-12-11T10:25:46.856000Z,2024-12-11T10:20:19.330645Z,382.0,CJL9IR62,1076,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6759660039963aebd4f04c30,5ea0c0c071dbf50bd270c612,APPROVED,Not Applicable,2024-12-11T10:14:29.723000Z,2024-12-11T10:19:12.459000Z,2024-12-11T10:25:12.252000Z,2024-12-11T10:19:14.076550Z,283.0,CJL9IR62,708,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6759660336dffd7f2e4cb1ec,665c29c098cf6c7245fc9f5b,AWAITING REVIEW,Not Applicable,2024-12-11T10:19:10.948000Z,2024-12-11T10:24:26.401000Z,,2024-12-11T10:24:27.225278Z,316.0,665c29c098cf6c7245fc9f5b,331,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6759673ccd1a4821ff017528,674ede89919ebcc8741ba9aa,AWAITING REVIEW,Not Applicable,2024-12-11T10:20:00.870000Z,2024-12-11T10:26:26.690000Z,,2024-12-11T10:26:27.494893Z,386.0,NOCODE,37,English,25,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
675968a4d1c9f91cdffd7b9b,60c961dd88bde0638e8ee828,APPROVED,Not Applicable,2024-12-11T10:26:03.020000Z,2024-12-11T10:31:40.365000Z,2024-12-11T10:35:55.863000Z,2024-12-11T10:32:58.694473Z,338.0,CJL9IR62,2022,English,25,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
675968a78f78f98f44721f74,6676d41ded1cb587040780e3,APPROVED,Not Applicable,2024-12-11T10:25:52.449000Z,2024-12-11T10:33:49.283000Z,2024-12-11T10:35:54.140000Z,2024-12-11T10:33:50.085352Z,477.0,CJL9IR62,264,English,28,Female,Black,Zimbabwe,United Kingdom,Zimbabwe,Other,No,Full-Time
675968b999eb3e3aad48ceb5,665c3ea072dfed905f1465a8,APPROVED,Not Applicable,2024-12-11T10:27:17.958000Z,2024-12-11T10:38:49.151000Z,2024-12-11T11:51:59.882000Z,2024-12-11T10:38:50.593094Z,692.0,CJL9IR62,269,"Cantonese, English, Mandarin",55,Female,Asian,Hong Kong,United Kingdom,Hong Kong,Cantonese,No,Part-Time
675968c499c0403757a25df2,67588f20434cf56174b89803,AWAITING REVIEW,Not Applicable,2024-12-11T10:26:17.130000Z,2024-12-11T10:28:45.618000Z,,2024-12-11T10:28:46.286574Z,149.0,67588f20434cf56174b89803,2,English,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
675968cf99c0403757a25df7,62e94b6406efad3412531a70,APPROVED,Not Applicable,2024-12-11T10:26:29.416000Z,2024-12-11T10:30:05.901000Z,2024-12-11T11:52:11.942000Z,2024-12-11T10:30:06.577604Z,217.0,CJL9IR62,843,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
675968e0f2e152874337d588,612cb8ab5ad60fc4504e073f,APPROVED,Not Applicable,2024-12-11T10:27:03.565000Z,2024-12-11T10:30:10.508000Z,2024-12-11T11:52:05.027000Z,2024-12-11T10:30:11.233481Z,187.0,CJL9IR62,1734,"English, Lithuanian",30,Female,White,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Part-Time
67596ea18ecea68e62299e3e,673b27194ee61c182145405b,AWAITING REVIEW,Not Applicable,2024-12-11T10:51:19.105000Z,2024-12-11T10:56:41.362000Z,,2024-12-11T10:56:41.958393Z,323.0,NOCODE,69,English,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
675970bcbf65d5292a6f1225,668d16ae27f1ad4461650742,APPROVED,Not Applicable,2024-12-11T11:07:10.613000Z,2024-12-11T11:26:12.397000Z,2024-12-11T11:52:02.812000Z,2024-12-11T11:28:28.581111Z,1142.0,CJL9IR62,421,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6759977c57b1b5e967ea9f5a,6234ad50fbfc7c32f4687eee,APPROVED,Not Applicable,2024-12-11T13:45:47.872000Z,2024-12-11T13:53:14.504000Z,2024-12-11T15:00:33.170000Z,2024-12-11T13:53:15.380197Z,447.0,CJL9IR62,628,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675997df819e41c3b6373b83,60d05712d155f607f2b7f664,AWAITING REVIEW,Not Applicable,2024-12-11T13:47:17.959000Z,2024-12-11T13:50:27.661000Z,,2024-12-11T13:50:28.497256Z,190.0,60d05712d155f607f2b7f664,931,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
675997f3758989ebec5d8dc1,65b5163d9f6fd80b763dd0ab,APPROVED,Not Applicable,2024-12-11T13:47:42.832000Z,2024-12-11T13:53:29.516000Z,2024-12-11T15:00:35.870000Z,2024-12-11T13:53:30.696302Z,347.0,CJL9IR62,261,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6759980190d19eca1f85d850,63469796c87f4b1a7b7ab1de,AWAITING REVIEW,Not Applicable,2024-12-11T13:47:50.817000Z,2024-12-11T13:51:22.630000Z,,2024-12-11T13:51:23.412014Z,212.0,63469796c87f4b1a7b7ab1de,323,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6759980af1ea207b7f75059c,62b5e4c15384ba7ca013ab55,APPROVED,Not Applicable,2024-12-11T13:48:00.924000Z,2024-12-11T13:59:10.264000Z,2024-12-11T15:00:38.630000Z,2024-12-11T13:59:31.417801Z,670.0,CJL9IR62,742,English,39,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
675998446e293ea417c20828,65f06d0bedcb12d8883c62aa,APPROVED,Not Applicable,2024-12-11T13:48:59.732000Z,2024-12-11T13:53:22.067000Z,2024-12-11T15:02:16.399000Z,2024-12-11T13:53:22.775571Z,263.0,CJL9IR62,292,English,49,Male,White,United States,United States,United States,English,No,Full-Time
675998448affd2d94bb05d5d,5aae1ba0917b3b00010d494c,AWAITING REVIEW,Not Applicable,2024-12-11T13:48:57.572000Z,2024-12-11T13:56:34.092000Z,,2024-12-11T13:56:38.622362Z,457.0,C1LLS5KY,1003,English,69,Female,White,Malta,United Kingdom,United Kingdom,Maltese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
675998506eb067b813afcbaf,60f3b1fe9d52d0f9fe552298,APPROVED,Not Applicable,2024-12-11T13:49:19.293000Z,2024-12-11T13:58:32.169000Z,2024-12-11T15:02:17.311000Z,2024-12-11T13:58:48.927844Z,553.0,CJL9IR62,663,English,45,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
6759985821a1719f5167a7c5,6172ba772342dcc9343a29db,APPROVED,Not Applicable,2024-12-11T13:49:23.479000Z,2024-12-11T13:55:30.975000Z,2024-12-11T15:02:18.869000Z,2024-12-11T13:55:33.629955Z,368.0,167.64,1491,English,36,Female,White,United States,United States,United States,English,No,Full-Time
67599891c2d7df69d1cb7c10,67233c9ea50770f9761e5b34,APPROVED,Not Applicable,2024-12-11T13:50:17.940000Z,2024-12-11T13:57:19.409000Z,2024-12-11T15:02:19.832000Z,2024-12-11T13:57:25.939918Z,422.0,CJL9IR62,63,English,21,Female,Black,Ghana,United States,Ghana,English,Yes,DATA_EXPIRED
6759989ea1e43221de790ec4,66a398080da27efcc3e8ecef,APPROVED,Not Applicable,2024-12-11T13:50:28.253000Z,2024-12-11T13:53:44.365000Z,2024-12-11T15:02:24.525000Z,2024-12-11T13:53:45.055966Z,197.0,CJL9IR62,351,English,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
675998a84674f96531678836,67408c77deabefe16641546b,APPROVED,Not Applicable,2024-12-11T13:50:42.141000Z,2024-12-11T13:55:00.485000Z,2024-12-11T15:00:55.346000Z,2024-12-11T13:55:03.057081Z,259.0,NOCODE,48,English,31,Female,White,United States,United States,United States,English,No,Full-Time
675998b5441bc62d7fd0a077,65a931939b8c8cadbf56c323,APPROVED,Not Applicable,2024-12-11T13:50:51.934000Z,2024-12-11T13:54:49.439000Z,2024-12-11T15:02:21.961000Z,2024-12-11T13:54:52.979475Z,238.0,CJL9IR62,192,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
