"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"224",5043,3,4,4,5,5,3,4,2,160,80,494,6,4,4,4,3,3,2,2,2,1,1,1,3,4,4,4,3.75,2,1,4,3.5,3.66666666666667,0,0,0,1
"225",5066,3,3,3,3,5,2,3,2,178,69,2803,6,4,4,4,3,4,2,2,2,3,3,5,4,4,4,4,4,2,3.66666666666667,3,3,4,0,0,0,1
"226",5059,3,4,4,4,4,3,4,4,180,57,200,6,4,4,5,4,5,2,2,1,1,2,2,5,5,4,4,4.5,1.66666666666667,1.66666666666667,3.75,3.75,4.66666666666667,0,0,0,1
"227",5068,3,4,3,2,4,4,3,3,164,70,2955,5,4,4,4,3,4,2,2,2,2,2,2,4,4,4,4,4,2,2,3,3.5,4,0,0,0,1
"228",5070,3,4,3,2,4,4,3,2,173,56,2719,6,4,3,4,1,3,2,2,2,2,3,2,2,2,2,4,3.5,2,2.33333333333333,3,3.25,2,0,0,0,1
"229",5072,3,3,3,5,5,4,4,3,5,70,2955,5,4,3,3,2,4,5,3,3,1,2,2,2,3,4,4,3.5,3.66666666666667,1.66666666666667,3.5,4,3,0,0,0,1
"230",5073,3,4,4,4,3,3,4,2,155,62,236,6,4,4,4,3,4,2,2,2,2,2,5,4,5,4,4,4,2,3,3.75,3,4.33333333333333,0,0,0,1
"231",5075,3,4,3,3,4,4,2,2,188,120,91,5,4,4,3,3,3,5,4,1,3,3,2,4,3,4,4,3.5,3.33333333333333,2.66666666666667,3.25,3,3.66666666666667,0,0,0,1
"232",5077,3,4,3,4,4,4,4,2,160,54,446,6,4,2,3,2,2,4,4,2,2,2,4,4,4,4,4,2.75,3.33333333333333,2.66666666666667,3.5,3.5,4,0,0,0,1
"233",5078,5,5,5,5,5,5,5,5,157,54,3735,10,5,5,5,1,5,1,1,1,1,1,1,5,5,5,4,5,1,1,5,5,5,0,0,0,1
"234",5083,4,5,4,4,3,3,2,2,175,83,2955,5,4,2,4,1,2,4,4,3,1,2,4,3,4,3,4,3,3.66666666666667,2.33333333333333,4.25,2.5,3.33333333333333,0,0,0,1
"235",5080,3,2,3,2,4,1,4,1,182,83,4416,10,4,2,4,5,4,2,2,1,3,3,2,4,2,2,4,3.5,1.66666666666667,2.66666666666667,2.5,2.5,2.66666666666667,0,0,0,1
"236",5082,4,4,3,4,2,3,3,2,157,96,1005,4,5,4,4,4,4,2,2,1,1,1,1,4,4,4,4,4.25,1.66666666666667,1,3.75,2.5,4,0,0,0,1
"237",5081,4,4,4,4,5,4,3,2,193,90,446,6,4,3,4,3,3,1,1,1,2,2,1,4,3,3,4,3.5,1,1.66666666666667,4,3.5,3.33333333333333,0,0,0,1
"238",5085,5,5,4,4,5,4,4,1,175,85,2955,5,5,4,5,3,4,2,1,2,2,1,4,5,4,5,4,4.5,1.66666666666667,2.33333333333333,4.5,3.5,4.66666666666667,0,0,0,1
"239",5087,3,3,2,2,3,1,3,1,160,79,4167,10,4,3,2,2,3,3,4,4,3,2,2,4,3,2,4,3,3.66666666666667,2.33333333333333,2.5,2,3,0,0,0,1
"240",5086,4,4,4,4,4,4,4,2,167,76,3649,10,4,4,4,2,3,2,2,2,2,2,2,4,4,2,4,3.75,2,2,4,3.5,3.33333333333333,0,0,0,1
